2021-04-16 21:43:23,737: 't'
2021-04-16 21:43:23,891: 'h'
2021-04-16 21:43:23,972: 'e'
2021-04-16 21:43:24,182: Key.space
2021-04-16 21:43:24,786: 'c'
2021-04-16 21:43:24,959: 'o'
2021-04-16 21:43:25,125: 'd'
2021-04-16 21:43:25,305: 'e'
2021-04-16 21:43:25,357: Key.space
2021-04-16 21:43:25,636: 'i'
2021-04-16 21:43:25,775: 's'
2021-04-16 21:43:25,895: Key.space
2021-04-16 21:43:26,136: 'n'
2021-04-16 21:43:26,250: 'o'
2021-04-16 21:43:26,450: 't'
2021-04-16 21:43:26,580: Key.space
2021-04-16 21:43:26,811: 'a'
2021-04-16 21:43:26,938: Key.space
2021-04-16 21:43:27,152: 'c'
2021-04-16 21:43:27,341: 'o'
2021-04-16 21:43:27,676: 'd'
2021-04-16 21:43:27,828: 'e'
2021-04-16 21:43:28,060: Key.space
2021-04-16 21:43:28,207: '.'
2021-04-16 21:43:28,415: Key.enter
2021-04-16 21:43:29,481: 'i'
2021-04-16 21:43:29,672: 't'
2021-04-16 21:43:29,777: Key.space
2021-04-16 21:43:30,051: 'i'
2021-04-16 21:43:30,468: 's'
2021-04-16 21:43:30,573: Key.space
2021-04-16 21:43:31,137: 'w'
2021-04-16 21:43:31,336: 'a'
2021-04-16 21:43:31,469: 'h'
2021-04-16 21:43:31,914: 't'
2021-04-16 21:43:32,096: Key.space
2021-04-16 21:43:32,605: 'i'
2021-04-16 21:43:32,822: 's'
2021-04-16 21:43:32,988: Key.space
2021-04-16 21:43:33,762: 'i'
2021-04-16 21:43:33,895: 't'
2021-04-16 21:43:34,965: '.'
2021-04-16 21:43:35,844: Key.esc
2021-04-16 21:43:58,926: Key.enter
2021-04-16 21:43:59,162: Key.enter
2021-04-16 21:43:59,873: 'v'
2021-04-16 21:43:59,879: 'd'
2021-04-16 21:43:59,882: 'n'
2021-04-16 21:44:00,018: 'l'
2021-04-16 21:44:00,028: 'd'
2021-04-16 21:44:00,037: 'x'
2021-04-16 21:44:00,097: 'n'
2021-04-16 21:44:00,219: 'l'
2021-04-16 21:44:00,241: 's'
2021-04-16 21:44:00,260: 'd'
2021-04-16 21:44:00,296: 'n'
2021-04-16 21:44:00,415: 'l'
2021-04-16 21:44:00,465: 'f'
2021-04-16 21:44:00,511: 'n'
2021-04-16 21:44:00,635: 'l'
2021-04-16 21:44:00,666: 'k'
2021-04-16 21:44:00,695: 'f'
2021-04-16 21:44:00,728: 'n'
2021-04-16 21:44:00,866: 'l'
2021-04-16 21:44:00,884: 'k'
2021-04-16 21:44:00,911: 'f'
2021-04-16 21:44:00,934: 'n'
2021-04-16 21:44:01,093: 'l'
2021-04-16 21:44:01,111: 'k'
2021-04-16 21:44:01,170: 'n'
2021-04-16 21:44:01,189: 'f'
2021-04-16 21:44:01,196: 'd'
2021-04-16 21:44:01,312: 'l'
2021-04-16 21:44:01,321: 'k'
2021-04-16 21:44:01,381: 'g'
2021-04-16 21:44:01,382: 'n'
2021-04-16 21:44:01,500: 'l'
2021-04-16 21:44:01,513: 'f'
2021-04-16 21:44:01,516: 'k'
2021-04-16 21:44:01,563: 'n'
2021-04-16 21:44:01,690: 'l'
2021-04-16 21:44:01,783: 'n'
2021-04-16 21:44:02,293: Key.esc
2021-04-16 21:44:40,882: Key.esc
